title,short_description,description,additional_info
Stone Flower ( Kalpasi ),Dried Stone Flower Spice,"Stone Flower offers an earthy flavor that is used in biryanis and spice blends. Its unique taste makes it a cherished ingredient in traditional cooking.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Tejpat ( Bayleaf ),Aromatic Bay leaf (Tejpat),"Tejpat, or Bayleaf, adds a subtle yet aromatic touch to dishes. Its fragrant leaves are perfect for enhancing the flavor of biryanis and rich gravies, making them a favorite in traditional cooking.&nbsp;","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging).&nbsp;"
Vanilla ( Kerala Idukki ),Premium Variety Vanilla,"Vanilla (Kerala Idukki) is a premium variety of vanilla known for its rich, aromatic fragrance and smooth, sweet flavor. Grown in the Idukki region of Kerala, it is perfect for enhancing desserts, beverages, and baked goods, offering a natural, high-quality essence.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Small Black Mustard,Black Mustard Seeds - Small,"These pungent seeds pack a bold flavor that elevates any dish. Ideal for tempering dals and curries, Black Mustard seeds are essential for adding depth to your culinary creations.&nbsp;","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Mustard Split ( Yellow ),,"",""
Bold Black Pepper Idukki,Premium Quality Black Pepper,"This unique-flavored spice is often included in spice blends and curries, enhancing the taste and aroma of your culinary creations.&nbsp;","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Bulk Black Pepper Idukki,Premium Quality Bulk Black Pepper Idukki,"This unique-flavored spice is often included in spice blends and curries, enhancing the taste and aroma of your culinary creations.","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Kabab Chini ( Tailed Pepper ),Fresh, Pure and Natural Kabab Chini (Tailed Pepper),"This unique-flavored spice is often included in spice blends and curries, enhancing the taste and aroma of your culinary creations.With its aroma resembling that of cinnamon, clove, nutmeg and cardamom, this Indian Spice is a must have in your kitchen.&nbsp;","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Thippili ( Long Pepper ),Whole Long Pepper (Thippili),"This unique-flavored spice is often included in spice blends and curries, enhancing the taste and aroma of your culinary creations.&nbsp;","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Ginger Dried,Pure Additive-Free Indian Spices,"Crafted to enhance the flavor of your dishes.Perfect for teas, curries, or traditional remedies, it guarantees authentic flavor and health benefits.","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Kanthallur Garlic,,"",""
Kokam Rind ( Sindhudurg ),,"",""
Malabar Pot Tamarind,100% Pure Tamarind,"This distinctly sour variety of Tamarind imparts a tangy flavor to traditional dishes, enhancing the taste of your culinary creations.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Naadan puli ( Naati Huli ),100% Pure Tamarind,"A traditional souring agent, Naadan Puli enhances flavor in various dishes, adding a unique touch to your recipes.&nbsp;","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Tamarind ( Sambar Tamarind ),100% Fresh Sambhar Tamarind,"Known for its tangy flavor, Sambar Tamarind is essential in South Indian dishes. It adds a delightful sourness to sambar and chutneys.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Coriander ( Premium ),Milled To Order Spice (Washed & Dried Coriander),"Do not compromise, get it fresh and as you wish!Not prepacked, milled upon orderCoriander Type:&nbsp; First Quality CorianderOrigin: Karnataka/ Madhya Pradesh /Rajasthan","&nbsp;We use washed and dried coriander ONLY for milling (after 3 step cleaning process)Washed and dried coriander is stored using Hermetic Technology(Non-pesticide storage technique)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging"
Samba(Chapli/Emmar/Khapli) Wheat Flour,Milled To Order Atta (Washed & Dried Whole Wheat),"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderWheat Type: &nbsp;khapli, Samba WheatWheat Origin: Haryana , Rajasthan","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-packed.Every order is “milled individually”. Not bulk milled. Milled as you wish and as you like.Sustainable packing (Zero Plastic Packaging)"
Raw Sugar Powder,,"",""
Raw Sugar Granules,Organic brown sugar granules,"Made from organically grown sugarcane, this sugar is less processed and retains its natural molasses content.With a mild, slightly caramel flavor, it adds depth to baked goods and beverages.Organic and chemical-free, it is a healthier, more natural alternative to refined white sugar.Rich in trace minerals, it provides a more wholesome option for sweetening your favorite recipes.","&nbsp;&nbsp;&nbsp;The products is free from chemicals, preservatives, and additives.They are minimally processed to retain natural nutrients and flavor.A healthier, more natural alternative to refined sweeteners."
basil seeds,Premium Seeds,"Basil Seeds, also known as Sabja Seeds, are tiny black seeds that swell when soaked in water. Rich in fiber, antioxidants, and essential nutrients, they are commonly used in beverages, desserts, and smoothies, promoting digestion, hydration, and overall wellness.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Black sesame,Premium seeds,"",""
Appam Batter,Wet Batter for Appam,"Ingredients&nbsp;Soaked Rice (white)Fresh Coconut GratedTender Coconut WaterPurified RO waterDirections on usageMove batter to a steel container and keep outside until fully fermented.Once fermented, then need to be refrigerated for longer storage.Take out from refrigerator minimum 30 minutes before cooking.Thick batter, Add coconut milk or coconut water for best results.","&nbsp;freshivore's PromiseZero&nbsp;added flavorsZero&nbsp;added yeast.Zero&nbsp;added cooking soda powderZero added synthetic fermentation agentsZero added preservatives."
Multi-Millet Batter,Wet Batter for Millet Idly or Dosa,"Ingredients&nbsp;RagiLittle MilletJowarUrad DalPurified RO waterDirections on usageMove batter to a steel container and keep outside until fully fermented.Once fermented, then need to be refrigerated for longer storage.Take out from refrigerator minimum 30 minutes before cooking.Thick batter, Add water as needed.","&nbsp;freshivore's PromiseZero&nbsp;added flavorsZero&nbsp;added yeast.Zero&nbsp;added cooking soda powderZero added synthetic fermentation agentsZero added preservatives."
Dates Sweetened Peanut Butter,Customise your own nut butter with sweetness of your choice!,"Packed with protein, vitamins, and healthy fats, peanut butter is great for building muscle and maintaining energy levels throughout the day.It’s a gut-friendly, high-protein food that’s easy on digestion and rich in nutrients.Whether you spread it on toast, add it to smoothies, or use it as a dip, each spoonful is packed with healthy fats, proteins, vitamins, and minerals to nourish your body and support your overall well-being.Ingredients: Peanut and Sweetener of your choiceAllergen Information: Made of peanut","&nbsp;&nbsp;Oil separation during storage is a natural process, so stir well before use. This freshly milled nut butter is free from any added oils, artificial preservatives and additives. Enjoy the benefits of a 100% natural product customized to your choice."
Honey Sweetened Peanut Butter,Customise your own nut butter with sweetness of your choice!,"Packed with protein, vitamins, and healthy fats, peanut butter is great for building muscle and maintaining energy levels throughout the day.It’s a gut-friendly, high-protein food that’s easy on digestion and rich in nutrients.Whether you spread it on toast, add it to smoothies, or use it as a dip, each spoonful is packed with healthy fats, proteins, vitamins, and minerals to nourish your body and support your overall well-being.Ingredients: Peanut and Sweetener of your choiceAllergen Information: Made of peanut","&nbsp;Oil separation during storage is a natural process, so stir well before use. This freshly milled nut butter is free from any added oils, artificial preservatives and additives. Enjoy the benefits of a 100% natural product customized to your choice."
Palm Sugar Sweetened Peanut Butter,Customize your own nut butter with sweetness of your choice!
Free from any preservatives and oils.,"Packed with protein, vitamins, and healthy fats, peanut butter is great for building muscle and maintaining energy levels throughout the day.It’s a gut-friendly, high-protein food that’s easy on digestion and rich in nutrients.Whether you spread it on toast, add it to smoothies, or use it as a dip, each spoonful is packed with healthy fats, proteins, vitamins, and minerals to nourish your body and support your overall well-being.Ingredients: Peanut and Sweetener of your choiceAllergen Information: Made of peanut","&nbsp;&nbsp;Oil separation during storage is a natural process, so stir well before use. This freshly milled nut butter is free from any added oils, artificial preservatives and additives. Enjoy the benefits of a 100% natural product customized to your choice."
Jaggery Sweetened  Peanut Butter,Customise your own nut butter with sweetness of your choice!,"Packed with protein, vitamins, and healthy fats, peanut butter is great for building muscle and maintaining energy levels throughout the day.It’s a gut-friendly, high-protein food that’s easy on digestion and rich in nutrients.Whether you spread it on toast, add it to smoothies, or use it as a dip, each spoonful is packed with healthy fats, proteins, vitamins, and minerals to nourish your body and support your overall well-being.Ingredients: Peanut and Sweetener of your choiceAllergen Information: Made of peanut","&nbsp;&nbsp;Oil separation during storage is a natural process, so stir well before use. This freshly milled nut butter is free from any added oils, artificial preservatives and additives. Enjoy the benefits of a 100% natural product customized to your choice."
Un Sweetened Peanut Butter,Customise your own nut butter with sweetness of your choice!,"Packed with protein, vitamins, and healthy fats, peanut butter is great for building muscle and maintaining energy levels throughout the day.It’s a gut-friendly, high-protein food that’s easy on digestion and rich in nutrients.Whether you spread it on toast, add it to smoothies, or use it as a dip, each spoonful is packed with healthy fats, proteins, vitamins, and minerals to nourish your body and support your overall well-being.Ingredients: PeanutAllergen Information: Made of peanut","&nbsp;&nbsp;Oil separation during storage is a natural process, so stir well before use. This freshly milled nut butter is free from any added oils, artificial preservatives and additives. Enjoy the benefits of a 100% natural product customized to your choice."
Raw Sugar Sweetened Peanut Butter,Customise your own nut butter with sweetness of your choice!,"Packed with protein, vitamins, and healthy fats, peanut butter is great for building muscle and maintaining energy levels throughout the day.it’s a gut-friendly, high-protein food that’s easy on digestion and rich in nutrients.Whether you spread it on toast, add it to smoothies, or use it as a dip, each spoonful is packed with healthy fats, proteins, vitamins, and minerals to nourish your body and support your overall well-being.Ingredients: Peanut and Sweetener of your choiceAllergen Information: Made of peanut","&nbsp;&nbsp;Oil separation during storage is a natural process, so stir well before use. This freshly milled nut butter is free from any added oils, artificial preservatives and additives. Enjoy the benefits of a 100% natural product customized to your choice."
Grated Coconut ( Fresh ),Freshly grated coconut,"Made from the flesh of a fresh coconut. It retains moisture and has a sweet, rich flavor.Sweet, nutty, and creamy, enhancing both sweet and savory dishes.","&nbsp;Fresh Grated Coconut: Best used within a few days when stored in the refrigerator.Contains medium-chain triglycerides (MCTs), which may support energy levels and weight management."
Rice Parboiled (Gandhakasaala),,"",""
Red Rice Raw Broken (Koduman),,"",""
Rice Parboiled ( Red Matta Half Bran ),Healthy Parboiled Rice,"Rice Parboiled (Red Matta Half Bran) is a nutritious, aromatic rice variety known for its rich, earthy flavor and firm texture. Packed with fiber, vitamins, and minerals, it is a healthier choice, perfect for traditional Kerala dishes and promoting better digestion and overall health","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Rice Par Boiled ( Ponni Unpolished),Healthy Parboiled Unpolished Rice (Ponni),"Rice Parboiled (Ponni Unpolished) is a traditional variety of rice known for its aromatic fragrance and firm texture. Retaining its natural bran layer, it is rich in fiber, vitamins, and minerals, making it a healthier choice for daily meals and promoting better digestion.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
RICE RAW ( RAJMUDI ),High Quality Rice,"Rice Raw (Rajmudi) is a fragrant, high-quality rice variety with a slightly nutty flavor and firm texture. Known for its nutritional value, it’s rich in fiber and essential nutrients, making it ideal for daily meals and a healthy addition to any cuisine.","&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
RICE  ( MULLANKAIMA ),,"",""
RICE BAMBOO,,"",""
RICE PAR BOILED ( KARUPPU KAVINI ),,"",""
Navara Rice (Raw),,"",""
Kashmiri Giri (Almonds),Premium nuts,"Almonds contain lots of healthy fats, fiber, protein, magnesium, and vitamin E. The health benefits of almonds include lower blood sugar levels, reduced blood pressure, and lower cholesterol levels. They can also reduce hunger and promote weight loss.",""
Solitaire Gold (Almonds),Premium nuts,"Almonds contain lots of healthy fats, fiber, protein, magnesium, and vitamin E. The health benefits of almonds include lower blood sugar levels, reduced blood pressure, and lower cholesterol levels. They can also reduce hunger and promote weight loss.",""
Super Jumbo (Almonds),Premium nuts,"Almonds contain lots of healthy fats, fiber, protein, magnesium, and vitamin E. The health benefits of almonds include lower blood sugar levels, reduced blood pressure, and lower cholesterol levels. They can also reduce hunger and promote weight loss.",""
Borma Cashew,Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Barbeque Cashew,Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
240 Cashew (Cashew-Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
320 Cashew (Cashew-Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Black Pepper (Cashew Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Chilli Garlic (Cashew-Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Green Chilli (Cashew-Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Honey (Cashew Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
CASHEW ( QUILON - JALAPENO ),,"",""
180 Premium (Cashew-Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Roasted And Salted (Cashew Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
LWP Cashew (Cashew-Quilon),Premium Cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Split Cashew (Cashew Quilon),Premium cashew nuts,"Cashews are rich in fiber, protein, and healthy fats. They also contain a variety of vitamins, minerals, and health-protective beneficial plant compounds. Similarly to nuts, cashews may promote weight loss, blood sugar control, and heart health.",""
Brazil Nuts,Premium Imported nuts,"The dietary fiber in Brazil nuts can also help to lower blood cholesterol levels, reducing the risk of heart disease and stroke.",""
Black Chia Seed,Premium seeds,"",""
Cucumber Seeds,Premium seeds,"",""
Amla (Sweet) Dried,Premium Dry Fruits,"Dried Amla, or Amla whole, is obtained by drying fresh amla fruits. During the drying process, water (the main ingredient), is mostly eliminated.",""
Black Current Plum Dried,Premium Imported,"",""
Dried Blackberry,,"",""
Blueberry Dried,Premium Imported Dry Fruits,"Ingredients: Blueberry(70%), Sugar(30%)",""
Cranberry Dried,Premium Imported Dry Fruits,"Ingredients: Cranberry(70%), Sugar(30%)",""
Ginger Cubes Dried,Premium Imported Ginger cubes,"Ingredients: Ginger(65%),Sugar(35%)Premium gingers cubes, exclusively imported, just the way you like it.","&nbsp;&nbsp;Do not compromise—get it fresh and just the way you like!Sustainable packaging (Zero Plastic Packaging)."
Prunes Dried,Premium Imported,"",""
Strawberry Dried,Premium Imported Dry Fruits,"Ingredients: Strawberry(65%), Sugar(35%)",""
Pineapple Coin Dried,Premium Imported Dry Fruits,"Ingredients: Pineapple(65%), Sugar(35%)",""
Fig Standard,Premium Imported Fig,"Figs would be a beneficial addition to a balanced diet. They are rich in fibre, which can help to reduce hunger and cravings and support digestive health. They also contain more calcium than some other fruits, so could be a useful source for anyone following a dairy-free diet.",""
Fig Superior,Premium Imported Fig,"Figs would be a beneficial addition to a balanced diet. They are rich in fibre, which can help to reduce hunger and cravings and support digestive health. They also contain more calcium than some other fruits, so could be a useful source for anyone following a dairy-free diet.",""
Fig SW,Premium Imported Fig,"Figs would be a beneficial addition to a balanced diet. They are rich in fibre, which can help to reduce hunger and cravings and support digestive health. They also contain more calcium than some other fruits, so could be a useful source for anyone following a dairy-free diet.",""
Rice Gandhakasaala (Jeera Rice),,"",""
Lotus Seeds,Premium seeds,"",""
Mubroom Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Ajwa Delight Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Algerian Berari Seedless Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Kimia Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
King Medjool Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Mabrook Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Pearl Dates,,"","Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease."
Rabea Dates,,"","Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease."
Red Medjool Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Safawi Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Sukkari Soft Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Sulthan Dates,Premium Imported Dates,"Dates are sweet fruits in many varieties, such as fresh, wet, semi-dry, and dry. The antioxidants, minerals, and vitamins in dates help support brain, digestive, and heart health and protect against disease.",""
Sprouted Ragi (Finger Millet),Milled To Order Atta ( Sprouted and Dried Naati Ragi),"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderGrain Type: &nbsp;Natti (non-hybrid) ragiGrain Origin: KarnatakaA BABY-FRIENDLY PRODUCT","&nbsp;We use washed and dried grains ONLY (after 3 step cleaning process)Grain is soaked overnight and sprouted in cloth packingDried grains are stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)"
Quinoa White,Washed and Dried White Quinoa,"Whole &nbsp;Quinoa &amp; Mill to Order Atta available","We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)"
Quinoa Red,Washed and Dried Red Quinoa,"Whole &nbsp;Quinoa &amp; Mill to Order Atta available","We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)"
Jowar (Sorgham Millet),Whole Millet, Atta,"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderGrain Type: &nbsp;White JowarGrain Origin: Karnataka","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled with husk and not sieved (Full Fiber)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)48 hours delivery across Bangalore"
Black Chana,3 step cleaned pulse,"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderType: &nbsp;Black Chana","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)48 hours delivery across Bangalore"
Byadagi Red Chilli,Milled To Order Spice (Washed & Dried Chilli),"Available Variants: Whole Chilli, Powder, Flakes&nbsp;Not prepacked—milled upon orderChilli Type:&nbsp; First Quality ByadagiChilli Origin: KarnatakaSPICE LEVEL : LOW TO MEDIUM SPICY","&nbsp;We use only washed and dried chillies for milling (after a 3-step cleaning process).Do not compromise—get it fresh and just the way you like!Chillies are stored using Hermetic Technology (a non-pesticide storage technique).Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging).&nbsp;&nbsp;"
Kashmiri Original Red Chilli,Milled To Order Spice (Washed & Dried Chilli),"Available Variants: Whole Chilli, Powder, FlakesNot prepacked—milled upon orderChilli Type:&nbsp; First Quality KashmiriChilli Origin: KashmirSPICE LEVEL: LOW TO MEDIUM SPICY","&nbsp;We use only washed and dried chillies for milling (after a 3-step cleaning process).Do not compromise—get it fresh and just the way you like!Chillies are stored using Hermetic Technology (a non-pesticide storage technique).Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Guntur Long Medium Spicy Red Chilli,Milled To Order Spice (Washed & Dried Chilli),"Available Variants: Whole Chilli, Powder, Flakes&nbsp;Not prepacked—milled upon orderChilli Type:&nbsp; First Quality Guntur ChilliChilli Origin: APSPICE LEVEL : MEDIUM TO HIGH","&nbsp;We use only washed and dried chillies for milling (after a 3-step cleaning process).Do not compromise—get it fresh and just the way you like!Chillies are stored using Hermetic Technology (a non-pesticide storage technique).Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Salem Ball Red Chilli,Milled To Order Spice (Washed & Dried Chilli),"Available Variants: Whole Chilli, Powder, Flakes&nbsp;Not prepacked—milled upon orderChilli Type:&nbsp; First Quality Ball Chilli SalemChilli Origin: TamilnaduSPICE LEVEL : MEDIUM TO HIGH","&nbsp;We use only washed and dried chillies for milling (after a 3-step cleaning process).Do not compromise—get it fresh and just the way you like!Chillies are stored using Hermetic Technology (a non-pesticide storage technique).Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Dubby Byadagi Red Chilli,Milled To Order Spice (Washed & Dried Chilli),"Available Variants: Whole Chilli, Powder, Flakes&nbsp;Not prepacked—milled upon orderChilli Type:&nbsp; First Quality Dubby ByadagiChilli Origin: KarnatakaSPICE LEVEL : LOW TO MEDIUM SPICY","&nbsp;We use only washed and dried chillies for milling (after a 3-step cleaning process).Do not compromise—get it fresh and just the way you like!Chillies are stored using Hermetic Technology (a non-pesticide storage technique).Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Idukki Turmeric,Pure and Superior Quality Idukki Turmeric,"&nbsp;Sourced from the lush hills of Idukki,Kerala.This variety has a slightly lower curcumin content compared to the Alleppy variety.It still provides excellent color and health benefits.Perfect for daily cooking.","&nbsp;&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Guntur Small Super Spicy Red Chilli,Milled To Order Spice (Washed & Dried Chilli),"Available Variants: Whole Chilli, Powder, Flakes&nbsp;Not prepacked—milled upon orderChilli Type:&nbsp; First Quality Guntur Small ChilliChilli Origin: APSPICE LEVEL : SUPER SPICY","&nbsp;We use only washed and dried chillies for milling (after a 3-step cleaning process).Do not compromise—get it fresh and just the way you like!Chillies are stored using Hermetic Technology (a non-pesticide storage technique).Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
Adai Dosa Batter,High Protein Dosa Batter,"Ingredients&nbsp;Raw red riceGuntur ChilliUrad DalChana DalToor &nbsp;DalPurified RO waterDirections on usageMove batter to a steel container and keep outside until fully fermented.Once fermented, then need to be refrigerated for longer storage.Take out from refrigerator minimum 30 minutes before cooking.Thick batter, add water as needed.&nbsp;","freshivore's PromiseZero&nbsp;added flavorsZero&nbsp;added yeast.Zero&nbsp;added cooking soda powderZero added synthetic fermentation agentsZero added preservatives."
White Idiyappam Rice Powder,Traditional Rice Flour for Idiyappam,"Idiyappams are made from a form of ground rice. The Rice is dried and ground to a fine paste to form the flour which is of smooth texture and white in color.",""
White Rice (Non Roasted),Non-roasted white rice,"Do not compromise, get it fresh and as you wish!Can be milled on your milling preference (select fineness while ordering)Not prepacked, milled upon orderType: &nbsp;White rice","&nbsp;We use washed and dried grains ONLY for milling (after 3 step cleaning process)Washed and dried grains stored using Hermetic Technology(Non-pesticide storage technique)Milled ONLY on order, NOT milled and pre-filled.Sustainable packing (Zero Plastic Packaging)"
Red Idiyappam Puncha Rice Powder,Traditional Rice Flour for Idiyappam,"Idiyappams are made from a form of ground rice. The Rice is dried and ground to a fine paste to form the flour which is of smooth texture and red in color.",""
White Puttu Rice Powder,Traditional Rice Puttu Powder,"White Puttu Podi is prepared from selected white rice. The steamed puttu is processed under hygienic condition with GMP standards. Very soft texture. Only needs 3-5 minutes for steaming.","&nbsp;Puttu is a steamed rice cake, often served with coconut, sugar, or savory curries. Made from finely ground rice flour, this powder delivers soft, fluffy puttu every time."
Himalayan Pink Salt,Pure Pink Salt,"Himalayan Pink Salt is a natural, mineral-rich salt harvested from ancient sea beds in the Himalayan region. Known for its distinctive pink color, it’s packed with essential trace minerals and is often used to enhance the flavor of dishes while promoting better hydration and overall health.","&nbsp;Do not compromise—get it fresh and just the way you like!Milled ONLY on order—NOT pre-milled or pre-packed.Sustainable packaging (Zero Plastic Packaging)."
